BLZ;name;city;shortName;BIC
10090603;apoBank;Potsdam;apoBank Potsdam;DAAEDED1048
10090900;PSD Bank Berlin-Brandenburg;Berlin;PSD Bank Berlin;GENODEF1P01
10110300;Privatbank Berlin von 1929;Berlin;Privatbank Berlin von 1929;MACODEB1XXX
10110400;Investitionsbank Berlin;Berlin;Investitionsbank Berlin;IBBBDEBBXXX
10110600;quirin bank;Berlin;quirin bank;QUBKDEBBXXX
10120100;Weberbank;Berlin;Weberbank;WELADED1WBB
10120600;Santander Consumer Bank;Frankfurt am Main;Santander Consumer Bank;SCFBDE33XXX
10120800;VON ESSEN Bankgesellschaft;Berlin;VON ESSEN Bank;VONEDE33BLN
10130600;Isbank Fil Berlin;Berlin;Isbank Berlin;ISBKDEFXBER
10130800;BIW Bank;Willich;BIW Bank;BIWBDE33XXX
10220500;Bank of Scotland Ndl Berlin;Berlin;Bank of Scotland Berlin;BOFSDEB1XXX
10220600;Sydbank Filiale Berlin;Berlin;Sydbank Berlin;SYBKDE22BER
10310600;Tradegate Wertpapierhandelsbank Berlin;Berlin;Tradegate Berlin;TRDADEB1PBK
12016836;KfW Kreditanstalt für Wiederaufbau;Berlin;KfW Berlin;KFWIDEFF100
12030000;Deutsche Kreditbank Berlin;Berlin;Deutsche Kreditbank Berlin;BYLADEM1001
12030900;Merck Finck & Co;Berlin;Merck Finck & Co Berlin;MEFIDEMM100
12040000;Commerzbank Filiale Berlin 2;Berlin;Commerzbank Fil. Berlin 2;COBADEBB120
12050555;NLB FinanzIT;Berlin;NLB FinanzIT;NOLADE21DVS
12060000;DZ BANK;Berlin;DZ BANK;GENODEFF120
12070000;Deutsche Bank Ld Brandenburg;Potsdam;Deutsche Bank Ld Brandenbg;DEUTDEBB160
12070000;Deutsche Bank;Bad Freienwalde (Oder);Deutsche Bank Bad Freienwde;DEUTDEBB172
12070000;Deutsche Bank;Bernau bei Berlin;Deutsche Bank Bernau;DEUTDEBB122
12070000;Deutsche Bank;Brandenburg an der Havel;Deutsche Bank Brandenburg;DEUTDEBB161
12070000;Deutsche Bank;Cottbus;Deutsche Bank Cottbus;DEUTDEBB180
12070000;Deutsche Bank;Eberswalde;Deutsche Bank Eberswalde;DEUTDEBB173
12070000;Deutsche Bank;Eisenhüttenstadt;Deutsche Bank Eisenhüttenst;DEUTDEBB174
12070000;Deutsche Bank;Finsterwalde;Deutsche Bank Finsterwalde;DEUTDEBB182
12070000;Deutsche Bank;Frankfurt (Oder);Deutsche Bank Frankfurt Od;DEUTDEBB170
12070000;Deutsche Bank;Fürstenwalde /Spree;Deutsche Bank Fürstenwalde;DEUTDEBB175
12070000;Deutsche Bank;Jüterbog;Deutsche Bank Jüterbog;DEUTDEBB187
12070000;Deutsche Bank;Königs Wusterhausen;Deutsche Bank Königs Wuster;DEUTDEBB121
12070000;Deutsche Bank;Kyritz, Prignitz;Deutsche Bank Kyritz;DEUTDEBB163
12070000;Deutsche Bank;Neuruppin;Deutsche Bank Neuruppin;DEUTDEBB123
12070000;Deutsche Bank;Oranienburg;Deutsche Bank Oranienburg;DEUTDEBB120
12070000;Deutsche Bank;Pritzwalk;Deutsche Bank Pritzwalk;DEUTDEBB166
12070000;Deutsche Bank;Rathenow;Deutsche Bank Rathenow;DEUTDEBB167
12070000;Deutsche Bank;Schwedt /Oder;Deutsche Bank Schwedt;DEUTDEBB176
12070000;Deutsche Bank;Seelow;Deutsche Bank Seelow;DEUTDEBB177
12070000;Deutsche Bank;Senftenberg, NL;Deutsche Bank Senftenberg;DEUTDEBB185
12070000;Deutsche Bank;Spremberg, NL;Deutsche Bank Spremberg;DEUTDEBB186
12070000;Deutsche Bank;Weißwasser /O.L.;Deutsche Bank Weißwasser;DEUTDEBB189
12070000;Deutsche Bank;Guben;Deutsche Bank Guben;DEUTDEBB183
12070000;Deutsche Bank;Wittstock /Dosse;Deutsche Bank Wittstock;DEUTDEBB169
12070000;Deutsche Bank;Zossen b Berlin;Deutsche Bank Zossen;DEUTDEBB124
12070000;Deutsche Bank;Angermünde;Deutsche Bank Angermünde;DEUTDEBB171
12070000;Deutsche Bank;Falkensee;Deutsche Bank Falkensee;DEUTDEBB162
12070000;Deutsche Bank;Forst (Lausitz);Deutsche Bank Forst;DEUTDEBB181
12070000;Deutsche Bank;Hennigsdorf;Deutsche Bank Hennigsdorf;DEUTDEBB125
12070000;Deutsche Bank;Luckenwalde;Deutsche Bank Luckenwalde;DEUTDEBB188
12070000;Deutsche Bank;Ludwigsfelde;Deutsche Bank Ludwigsfelde;DEUTDEBB164
12070000;Deutsche Bank;Lübben (Spreewald);Deutsche Bank Lübben;DEUTDEBB184
12070000;Deutsche Bank;Schwarzheide;Deutsche Bank Schwarzheide;DEUTDEBB126
12070000;Deutsche Bank;Strausberg;Deutsche Bank Strausberg;DEUTDEBB178
12070000;Deutsche Bank;Teltow;Deutsche Bank Teltow;DEUTDEBB127
12070000;Deutsche Bank;Werder (Havel);Deutsche Bank Werder Havel;DEUTDEBB168
12070000;Deutsche Bank;Nauen, Havelland;Deutsche Bank Nauen;DEUTDEBB165
12070024;Deutsche Bank Privat und Geschäftskunden;Potsdam;Deutsche Bank PGK Brandenbg;DEUTDEDB160
12070024;Deutsche Bank Privat und Geschäftskunden;Angermünde;Deutsche Bank PGK Angermün;DEUTDEDB171
12070024;Deutsche Bank Privat und Geschäftskunden;Bad Freienwalde (Oder);Deutsche Bank PGK Bad Freie;DEUTDEDB172
12070024;Deutsche Bank Privat und Geschäftskunden;Bernau bei Berlin;Deutsche Bank PGK Bernau;DEUTDEDB122
12070024;Deutsche Bank Privat und Geschäftskunden F 704;Brandenburg an der Havel;Deutsche Bank PGK Brandenbu;DEUTDEDB161
12070024;Deutsche Bank Privat und Geschäftskunden;Cottbus;Deutsche Bank PGK Cottbus;DEUTDEDB180
12070024;Deutsche Bank Privat und Geschäftskunden;Eberswalde;Deutsche Bank PGK Eberswald;DEUTDEDB173
12070024;Deutsche Bank Privat und Geschäftskunden;Eisenhüttenstadt;Deutsche Bank PGK Eisenhütt;DEUTDEDB174
12070024;Deutsche Bank Privat und Geschäftskunden;Falkensee;Deutsche Bank PGK Falkensee;DEUTDEDB162
12070024;Deutsche Bank Privat und Geschäftskunden;Finsterwalde;Deutsche Bank PGK Finsterwa;DEUTDEDB182
12070024;Deutsche Bank Privat und Geschäftskunden;Forst (Lausitz);Deutsche Bank PGK Forst;DEUTDEDB181
12070024;Deutsche Bank Privat und Geschäftskunden;Frankfurt (Oder);Deutsche Bank PGK Frankfurt;DEUTDEDB170
12070024;Deutsche Bank Privat und Geschäftskunden;Fürstenwalde /Spree;Deutsche Bank PGK Fürstenw;DEUTDEDB175
12070024;Deutsche Bank Privat und Geschäftskunden;Guben;Deutsche Bank PGK Guben;DEUTDEDB183
12070024;Deutsche Bank Privat und Geschäftskunden;Hennigsdorf;Deutsche Bank PGK Hennigsdo;DEUTDEDB125
12070024;Deutsche Bank Privat und Geschäftskunden;Jüterbog;Deutsche Bank PGK Jüterbog;DEUTDEDB187
12070024;Deutsche Bank Privat und Geschäftskunden;Königs Wusterhausen;Deutsche Bank PGK Königs-Wu;DEUTDEDB121
12070024;Deutsche Bank Privat und Geschäftskunden;Kyritz, Prignitz;Deutsche Bank PGK Kyritz;DEUTDEDB163
12070024;Deutsche Bank Privat und Geschäftskunden;Luckenwalde;Deutsche Bank PGK Luckenwal;DEUTDEDB188
